Year,week_number,week_end,total_death_all_ages,all_respiratory_diseases_(ICD-10 J00-J99) _ICD-10 v 2010,Under 1 year,01-14,15-44,45-64,65-74,75-84,85+,Under 1 year_male,01-14_male,15-44_male,45-64_male,65-74_male,75-84_male,85+_male,Under 1 year_female,01-14_female,15-44_female,45-64_female,65-74_female,75-84_female,85+_female,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales
2013,1 ,4-Jan-13,"11,620","2,235",34,24,220,"1,179","1,780","3,461","4,921",17,13,129,679,"1,047","1,734","1,757",17,11,91,500,733,"1,727","3,164",696,"1,545","1,138",976,"1,268","1,198","1,080","1,793","1,174",725
2013,2 ,11-Jan-13,"12,541","2,508",65,27,315,"1,481","1,849","3,703","5,100",50,11,183,885,"1,071","1,915","1,775",15,16,132,596,778,"1,788","3,325",732,"1,650","1,213","1,025","1,325","1,299","1,182","1,988","1,346",755
2013,3 ,18-Jan-13,"11,075","2,015",54,11,324,"1,305","1,693","3,156","4,532",32,5,192,791,"1,001","1,594","1,621",22,6,132,514,692,"1,562","2,911",646,"1,539","1,155",928,"1,072","1,232","1,012","1,680","1,149",647
2013,4 ,25-Jan-13,"11,262","1,903",49,20,285,"1,216","1,780","3,286","4,625",24,12,179,730,"1,035","1,713","1,614",25,8,106,486,745,"1,573","3,011",607,"1,571","1,163",919,"1,158","1,193","1,063","1,643","1,191",738
2013,5 ,1-Feb-13,"11,314","1,939",51,24,253,"1,288","1,682","3,293","4,723",31,10,155,749,982,"1,739","1,758",20,14,98,539,700,"1,554","2,965",599,"1,481","1,121",956,"1,149","1,215","1,079","1,734","1,211",749
2013,6 ,8-Feb-13,"11,044","1,831",59,21,295,"1,235","1,713","3,243","4,478",30,10,193,740,"1,007","1,645","1,614",29,11,102,495,706,"1,598","2,864",565,"1,533","1,102",873,"1,172","1,144","1,052","1,725","1,182",682
2013,7 ,15-Feb-13,"11,030","1,863",55,31,357,"1,307","1,682","3,200","4,396",32,12,216,785,988,"1,649","1,608",23,19,141,522,694,"1,551","2,788",585,"1,542","1,126",912,"1,174","1,138","1,117","1,575","1,146",697
2013,8 ,22-Feb-13,"10,850","1,834",58,22,292,"1,170","1,655","3,132","4,515",42,8,178,688,985,"1,569","1,645",16,14,114,482,670,"1,563","2,870",554,"1,522","1,102",939,"1,074","1,116","1,048","1,631","1,159",688
2013,9 ,1-Mar-13,"10,783","1,851",52,25,318,"1,242","1,664","3,079","4,400",34,12,210,755,945,"1,615","1,596",18,13,108,487,719,"1,464","2,804",532,"1,525","1,056",893,"1,093","1,171","1,004","1,693","1,155",642
2013,10 ,8-Mar-13,"11,245","1,981",52,24,279,"1,287","1,706","3,269","4,625",23,16,167,727,"1,011","1,692","1,669",29,8,112,560,695,"1,577","2,956",529,"1,568","1,088",950,"1,198","1,210","1,041","1,724","1,198",719
2013,11 ,15-Mar-13,"11,180","2,054",55,27,313,"1,261","1,668","3,239","4,617",39,16,205,772,980,"1,615","1,638",16,11,108,489,688,"1,624","2,979",513,"1,538","1,067",912,"1,223","1,148","1,019","1,726","1,286",720
2013,12 ,22-Mar-13,"11,075","1,893",59,15,297,"1,245","1,609","3,280","4,567",25,6,203,743,945,"1,699","1,591",34,9,94,502,664,"1,581","2,976",517,"1,534","1,152",987,"1,121","1,168","1,017","1,631","1,195",729
2013,13 ,29-Mar-13,"9,280","1,588",41,22,238,"1,031","1,435","2,672","3,821",25,16,154,618,847,"1,347","1,393",16,6,84,413,588,"1,325","2,428",466,"1,300",927,764,960,908,902,"1,403","1,022",617
2013,14 ,5-Apr-13,"10,890","1,938",55,21,276,"1,245","1,652","3,162","4,467",39,14,161,755,954,"1,635","1,618",16,7,115,490,698,"1,527","2,849",516,"1,531","1,113",911,"1,153","1,084","1,041","1,579","1,169",736
2013,15 ,12-Apr-13,"12,147","2,138",47,20,308,"1,351","1,866","3,543","4,999",22,12,196,835,"1,093","1,834","1,805",25,8,112,516,773,"1,709","3,194",600,"1,660","1,147",952,"1,371","1,233","1,125","1,914","1,320",792
2013,16 ,19-Apr-13,"11,752","2,046",49,24,285,"1,352","1,814","3,418","4,808",33,11,200,817,"1,037","1,804","1,743",16,13,85,535,777,"1,614","3,065",565,"1,524","1,139","1,014","1,197","1,274","1,062","1,801","1,322",770
2013,17 ,26-Apr-13,"10,625","1,667",48,17,328,"1,226","1,693","3,009","4,304",30,7,216,761,"1,005","1,557","1,522",18,10,112,465,688,"1,452","2,782",505,"1,449","1,085",869,"1,066","1,134",981,"1,648","1,159",708
2013,18 ,3-May-13,"10,169","1,519",63,23,330,"1,225","1,650","2,897","3,978",26,13,231,749,992,"1,572","1,413",37,10,99,476,658,"1,325","2,565",555,"1,347",966,852,"1,042","1,070",952,"1,612","1,094",657
2013,19 ,10-May-13,"8,814","1,263",56,17,269,"1,046","1,468","2,594","3,363",34,10,163,631,873,"1,401","1,220",22,7,106,415,595,"1,193","2,143",483,"1,213",895,718,870,954,868,"1,306",942,547
2013,20 ,17-May-13,"9,847","1,421",67,20,278,"1,199","1,633","2,961","3,688",41,9,201,700,981,"1,594","1,328",26,11,77,499,652,"1,367","2,360",484,"1,295",995,823,"1,047","1,040",919,"1,546","1,068",603
2013,21 ,24-May-13,"9,530","1,262",52,24,255,"1,133","1,489","2,912","3,663",34,15,178,688,840,"1,580","1,332",18,9,77,445,649,"1,332","2,331",489,"1,293",978,776,"1,000",978,863,"1,501","1,020",606
2013,22 ,31-May-13,"8,333","1,098",50,17,223,"1,036","1,428","2,479","3,098",34,7,137,592,796,"1,272","1,151",16,10,86,444,632,"1,207","1,947",488,"1,176",779,695,846,875,769,"1,267",856,557
